SM,ST,Temp,Humidity,SR,Rain,PSM
30.07,71.84,76.95,85.98,317.75,0.09,30.156993
30,71.85,76.95,80.68,202,0,29.997
29.94,71.9,70.56,91.11,0,0.02,29.957006
29.91,71.98,68.12,93.63,12.38,0,29.907009
29.88,72.06,73.8,81.81,485.54,0.01,29.887012
29.85,72.16,79.17,63.72,561.46,0,29.847015
29.82,72.27,72.39,72.92,71.2,0,29.817018
29.8,72.37,63.29,88.03,0,0,29.79702
29.8,72.44,61.32,91.64,60.38,0,29.79702
29.81,72.47,72.55,75.88,611.88,0,29.807019
29.84,72.5,79.92,57.16,691.5,0,29.837016
29.83,72.54,70.14,75.85,38.75,0,29.827017
29.84,72.56,59.13,92.54,0,0,29.837016
29.83,72.53,57.52,94.19,33.54,0,29.827017
29.85,72.5,73.95,78.8,464.93,0,29.847015
29.85,72.48,78.78,76.13,487.25,0.04,29.887015
29.85,72.44,72.43,82.18,28.63,0,29.847015
29.86,72.4,63.44,91.87,0,0,29.857014
29.86,72.34,60.75,90.16,144.4,0,29.857014
29.85,72.29,73.55,72.88,557.33,0,29.847015
29.84,72.24,77.54,55.74,614.75,0,29.837016
29.77,72.18,64.73,78.71,14.63,0,29.767023
29.71,72.14,55.35,91.79,0,0,29.707029
29.65,72.11,58.7,91.21,130.33,0,29.647035
29.61,72.15,70.76,61.98,666.25,0,29.607039
29.57,72.2,73.27,55.48,465.5,0,29.567043
29.52,72.29,60.31,79.17,7.6,0,29.517048
29.46,72.39,50.09,92.13,0,0,29.457054
29.43,72.47,56.35,88.06,214.04,0.01,29.437057
29.42,72.55,73.54,50.5,781.67,0.01,29.427058
29.43,72.61,75.32,46.69,877.2,0,29.427057
29.44,72.66,75.41,48.78,719.38,0,29.437056
29.42,72.7,75.63,49.59,667.63,0,29.417058
29.43,72.74,75.32,51.12,673.13,0,29.427057
29.44,72.72,75.08,52.01,503.7,0,29.437056
29.43,72.74,75.25,51.98,455.79,0,29.427057
29.42,72.73,73.39,55.61,147.75,0,29.417058
29.44,72.72,72.4,60.3,151.75,0,29.437056
29.41,72.68,68.93,68.8,22.87,0,29.407059
29.42,72.63,65.1,76.13,0,0,29.417058
29.43,72.6,62.61,81.35,0,0,29.427057
29.42,72.55,61.74,83.63,0,0,29.417058
29.43,72.49,61.8,84.84,0,0,29.427057
29.42,72.4,63.1,81.62,0,0,29.417058
29.4,72.34,62.15,85.29,0,0.04,29.43706
29.36,72.29,61.04,88.95,0,0.11,29.467064
29.3,72.23,60.86,88.7,0,0.03,29.32707
29.24,72.19,60.64,89.68,0,0.06,29.297076
29.21,72.22,60.48,90.98,0,0.01,29.217079
29.15,72.28,60.37,92.23,0,0,29.147085
29.13,72.34,60.39,92.07,0.13,0,29.127087
29.11,72.36,60.33,91.78,15.38,0,29.107089
29.1,72.39,60.87,90.75,73.83,0,29.09709
29.12,72.41,62.15,88.76,158.63,0,29.117088
29.12,72.46,64.09,84.69,236.5,0,29.117088
29.11,72.46,66.49,78.48,446.92,0,29.107089
29.12,72.45,68.15,74.81,376.13,0,29.117088
29.11,72.43,69.49,72.72,453.38,0,29.107089
29.13,72.39,71.17,70.18,551.3,0,29.127087
29.13,72.34,74.39,64.99,889.58,0,29.127087
29.1,72.29,75.98,63.51,879.46,0,29.09709
29.14,72.2,77.26,61.59,848.13,0,29.137086
29.14,72.12,78.14,61.36,772.07,0,29.137086
29.14,72.05,78.82,61,659.33,0,29.137086
29.14,71.97,78.65,62.68,515.29,0,29.137086
29.14,71.89,77.98,63.71,343,0,29.137086
29.12,71.82,76.84,65.86,237.67,0,29.117088
29.08,71.77,74.55,70.7,64.33,0,29.077092
29.02,71.71,71.25,77.37,2.25,0,29.017098
28.98,71.69,69.19,79.31,0,0,28.977102
28.9,71.73,67.14,82.08,0,0,28.89711
28.83,71.81,65.5,85.39,0,0,28.827117
28.79,71.88,64.43,87.51,0,0,28.787121
28.75,71.95,63.63,89.31,0,0,28.747125
28.75,72.03,63.63,89.84,0,0,28.747125
28.76,72.11,63.53,90.93,0,0,28.757124
28.76,72.17,63.63,91.13,0,0,28.757124
28.77,72.23,64.28,90.07,0,0,28.767123
28.79,72.23,64.13,89.34,0,0,28.787121
28.78,72.24,63.45,90.38,0,0,28.777122
28.79,72.25,63.05,91.43,7.5,0,28.787121
28.79,72.21,63.96,91.28,43.25,0,28.787121
28.78,72.18,65.39,90.24,77.6,0,28.777122
28.78,72.17,66.99,89.18,61.96,0,28.777122
28.77,72.12,68.71,89.32,290,0,28.767123
28.78,72.07,69.06,89.31,244.38,0,28.777122
